Name,Url,Authority,Started On,Finished On,License Number
Advanced Level Codechef Certified Data Structures and Algorithms,NA,CodeChef,Feb 2019,NA,NA
Google Kick Start Round D,https://pdfhost.io/v/kVNJF5TqP_000000000005106e00000000037da7c0c1a6ba908c173dc4fd31b5a7615d1e6f925067ab,Google,Jun 2019,NA,NA
Google Kickstart Round C,https://pdfhost.io/v/V1abREMd8_0000000000050ffb0000000037da79ad53b8c0535343aa1d67010db0ceca9de8757675b7,Google,Jul 2019,NA,NA
Introduction to Relational Databases (RDBMS),https://www.coursera.org/account/accomplishments/records/5WANQA054W17,IBM,Nov 2025,NA,5WANQA054W17
The Power of Statistics,https://www.coursera.org/account/accomplishments/records/46WOXUH258Q2,Google,Nov 2025,NA,46WOXUH258Q2
Google Data Analytics Professional Certificate,https://www.coursera.org/account/accomplishments/specialization/HU0GC9JKV4FM,Google,Aug 2025,NA,HU0GC9JKV4FM
Google Advanced Data Analytics Professional Certificate,https://www.coursera.org/account/accomplishments/specialization/H4MAV4XFGY7E,Google,Nov 2025,NA,H4MAV4XFGY7E
Python for Data Science, AI & Development,https://www.coursera.org/account/accomplishments/records/J5BTVE6TR6V1,IBM,Nov 2025,NA,J5BTVE6TR6V1
SQL (Advanced),https://www.hackerrank.com/certificates/iframe/1ea92d4ae22e,HackerRank,Aug 2025,NA,1ea92d4ae22e
Data Analysis and Visualization with Power BI,https://www.coursera.org/account/accomplishments/verify/7AOYO3CQW2Q7,Microsoft,Jul 2025,NA,7AOYO3CQW2Q7
Data Analytics Essentials,https://www.credly.com/badges/f07ea533-ac6a-4d27-9271-0f603b6252a0/linked_in_profile,Cisco,Jul 2025,NA,NA
Azure AI Fundamentals,https://www.coursera.org/account/accomplishments/verify/5ZECW8NY48GV,Microsoft,Jul 2025,NA,5ZECW8NY48GV
Microsoft Power BI Data Analyst Professional Certificate,https://www.coursera.org/account/accomplishments/specialization/76ZGZKTG1WM9,Microsoft,Jul 2025,NA,76ZGZKTG1WM9
Data-Driven Decision Making,https://www.coursera.org/account/accomplishments/verify/TCAN4L2NYB83,Google,Jul 2025,NA,TCAN4L2NYB83
Excel Skills for Business,https://www.coursera.org/account/accomplishments/specialization/J5JK1BA8H9C6,Macquarie University,Jun 2025,NA,J5JK1BA8H9C6
Programming in Python,https://www.coursera.org/account/accomplishments/verify/V5TQFWDZ53J0,Meta,Jun 2025,NA,V5TQFWDZ53J0
Foundations of Data Science,https://www.coursera.org/account/accomplishments/verify/125A3169C5F6,Google,Jun 2025,NA,125A3169C5F6
Prepare Data for ML APIs on Google Cloud,https://www.credly.com/badges/d510b294-a62d-4dc0-a42a-9333c30dfeb5/linked_in_profile,Google Cloud,Jun 2025,NA,NA
Looker Studio Essentials,https://www.cloudskillsboost.google/public_profiles/5d7d0d7e-f769-4d6d-b130-5e3dbb0d132a/badges/15782747,Google Cloud,May 2025,NA,NA
Gemini for Data Scientists and Analysts,https://www.cloudskillsboost.google/public_profiles/5d7d0d7e-f769-4d6d-b130-5e3dbb0d132a/badges/16418650,Google Cloud,Jun 2025,NA,NA
Introduction to Generative AI,https://www.coursera.org/account/accomplishments/verify/M8Y9D9V5JMN0,AWS,Jun 2025,NA,M8Y9D9V5JMN0
Data Fundamentals,https://www.credly.com/badges/6f8d272c-3593-43a9-86fd-c2c073a66f97/linked_in_profile,Cisco,Jul 2025,NA,NA
